CPU Name,Cores,CPU Mark,Thread Mark,"TDP									","Socket										",Category
Intel Core i7-4600M @ 2.90GHz,2,"3,188","1,859",37,PGA946,Laptop
AMD Ryzen 3 3250C,2,"3,153","1,911",15,FP5,"Laptop, Mobile/Embedded"
AMD Athlon Silver 7120U,2,"3,150","1,929",15,FP6,Laptop
Intel Core i3-4350T @ 3.10GHz,2,"3,142","1,762",35,LGA1150,Laptop
Intel Core i5-6198DU @ 2.30GHz,2,"3,118","1,644",15,BGA1356,Laptop
Intel Core i5-6360U @ 2.00GHz,2,"3,117","1,745",15,FCBGA1356,Laptop
Intel Core i5-4310M @ 2.70GHz,2,"3,110","1,809",37,Unknown,Laptop
Intel Core i7-5557U @ 3.10GHz,2,"3,096","1,913",28,FCBGA1168,Laptop
Intel Core i7-4578U @ 3.00GHz,2,"3,094","1,929",28,FCBGA1168,Laptop
Intel Core i5-5287U @ 2.90GHz,2,"3,094","1,935",28,FCBGA1168,Laptop
Intel Core i5-4210H @ 2.90GHz,2,"3,051","1,771",47,FCBGA1364,Laptop
Intel Core i3-6100H @ 2.70GHz,2,"3,041","1,543",35,LGA 1151,Laptop
Intel Core i7-5600U @ 2.60GHz,2,"3,037","1,775",15,FCBGA1168,Laptop
Intel Core i3-7130U @ 2.70GHz,2,"3,024","1,568",15,FCBGA1356,Laptop
ARM Cortex-A78 4 Core 2000 MHz,4,"3,016","1,121",NA,Unknown,"Laptop, Mobile/Embedded"
Intel Core i7-4558U @ 2.80GHz,2,"3,005","1,840",28,BGA1168,Laptop
Intel Core i7-5650U @ 2.20GHz,2,"2,999","1,893",15,FCBGA1168,Laptop
Intel Core i5-6200U @ 2.30GHz,2,"2,994","1,553",15,FCBGA1356,Laptop
Intel Core i7-3540M @ 3.00GHz,2,"2,990","1,796",35,rPGA988B,Laptop
AMD Athlon Silver 3050U,2,"2,990","1,704",15,FP5,Laptop
Intel Core i5-4300M @ 2.60GHz,2,"2,976","1,731",37,PGA946,Laptop
AMD A12-9730P,4,"2,958","1,407",35,FP4,Laptop
AMD Ryzen Embedded R1305G,2,"2,953","1,587",8,FP5,"Laptop, Mobile/Embedded"
AMD Athlon Silver 3050e,2,"2,952","1,448",6,Unknown,Laptop
Intel Core i7-4560U @ 1.60GHz,2,"2,950","1,782",NA,Unknown,Laptop
Intel Core i5-4308U @ 2.80GHz,2,"2,945","1,828",28,FCBGA1364,Laptop
Intel Core i5-3380M @ 2.90GHz,2,"2,911","1,769",35,"FCPGA988, FCBGA1",Laptop
AMD A10-9630P,4,"2,909","1,397",35,FP4,Laptop
Intel Core i5-4210M @ 2.60GHz,2,"2,893","1,695",37,FCPGA946,Laptop
AMD Athlon Silver 3050C,2,"2,879","1,809",15,FP5,Laptop
Intel Core i5-3360M @ 2.80GHz,2,"2,871","1,753",35,BGA1023,Laptop
Intel Core i7-3520M @ 2.90GHz,2,"2,870","1,744",35,BGA1023,Laptop
Intel Core m3-8100Y @ 1.10GHz,2,"2,869","1,714",5,FCBGA1515,Laptop
Intel Core i7-5550U @ 2.00GHz,2,"2,864","1,703",15,FCBGA1168,Laptop
AMD FX-7600P APU,4,"2,856","1,436",35,FP3,Laptop
AMD FX-8800P,2,"2,851","1,380",35,FP4,Laptop
Intel Core i5-4278U @ 2.60GHz,2,"2,825","1,710",28,FCBGA1168,Laptop
Intel Core i5-4200M @ 2.50GHz,2,"2,810","1,624",37,PGA946,Laptop
Intel Core i5-5257U @ 2.70GHz,2,"2,805","1,721",23,FCBGA1168,Laptop
AMD RX-427BB,4,"2,788","1,301",35,FP3,Laptop
Intel Core i7-5500U @ 2.40GHz,2,"2,780","1,652",15,FCBGA1168,Laptop
Intel Core i5-8210Y @ 1.60GHz,2,"2,769","1,683",7,FCBGA1515,Laptop
Intel Core i3-6157U @ 2.40GHz,2,"2,761","1,436",28,BGA1356,Laptop
Intel Core i5-5300U @ 2.30GHz,2,"2,729","1,630",15,FCBGA1168,Laptop
Intel Core m3-7Y32 @ 1.10GHz,2,"2,727","1,626",4.5,FCBGA1515,Laptop
Intel Core i3-7100U @ 2.40GHz,2,"2,722","1,386",15,FCBGA1356,Laptop
AMD A6-9400,2,"2,717","1,664",10,FT4,Laptop
AMD 3015e,2,"2,714","1,351",6,Unknown,Laptop
Intel Core i7-4600U @ 2.10GHz,2,"2,707","1,649",15,FCBGA1168,Laptop
Intel Core i5-3340M @ 2.70GHz,2,"2,694","1,648",35,BGA1023,Laptop
AMD PRO A12-9800B,4,"2,691","1,392",15,FP4,Laptop
Intel Core i5-4402E @ 1.60GHz,2,"2,681","1,510",25,FCBGA1364,Laptop
Intel Core i3-4110M @ 2.60GHz,2,"2,678","1,389",37,FCPGA946,Laptop
Intel Core i5-3320M @ 2.60GHz,2,"2,668","1,622",35,BGA1023,Laptop
Intel Core i5-3610ME @ 2.70GHz,2,"2,666","1,579",35,BGA1023,Laptop
AMD A12-9720P,4,"2,664","1,322",15,FP4,Laptop
Intel Core i7-3687U @ 2.10GHz,2,"2,645","1,598",17,BGA1023,Laptop
Intel Core i5-7Y54 @ 1.20GHz,2,"2,643","1,512",4.5,FCBGA1515,Laptop
Intel Core i5-4288U @ 2.60GHz,2,"2,635","1,631",28,FCBGA1168,Laptop
Intel Core i3-6100U @ 2.30GHz,2,"2,633","1,333",15,FCBGA1356,Laptop
Intel Core i5-4258U @ 2.40GHz,2,"2,625","1,578",28,FCBGA1168,Laptop
Intel Core i7-7Y75 @ 1.30GHz,2,"2,624","1,578",4.5,FCBGA1515,"Desktop, Laptop"
AMD Athlon PRO 3045B,2,"2,618","1,493",15,FP5,Laptop
AMD FX-7600P,4,"2,611","1,265",35,FP3,Laptop
Intel Pentium Silver N5000 @ 1.10GHz,4,"2,603","1,135",6,FCBGA1090,Laptop
Intel Core i3-5157U @ 2.50GHz,2,"2,593","1,392",28,FCBGA1168,Laptop
Intel Core i7-4510U @ 2.00GHz,2,"2,588","1,536",15,FCBGA1168,Laptop
Intel Core i5-7Y57 @ 1.20GHz,2,"2,585","1,624",4.5,FCBGA1515,Laptop
Intel Core m3-7Y30 @ 1.00GHz,2,"2,583","1,405",4.5,FCBGA1515,Laptop
AMD PRO A12-8800B,2,"2,580","1,315",15,FP4,Laptop
Intel Core i5-5350U @ 1.80GHz,2,"2,578","1,652",15,FCBGA1168,Laptop
Intel Core i3-7020U @ 2.30GHz,2,"2,577","1,321",15,FCBGA1356,Laptop
Intel Pentium Silver N5030 @ 1.10GHz,4,"2,575","1,240",6,FCBGA1090,Laptop
Intel Core i5-3230M @ 2.60GHz,2,"2,560","1,577",35,PGA988,Laptop
AMD A10-9620P,4,"2,559","1,274",15,Unknown,Laptop
AMD FX-9800P,4,"2,549","1,237",15,Unknown,Laptop
AMD PRO A10-9700B,4,"2,545","1,294",15,FP4,Laptop
Intel Core i5-4310U @ 2.00GHz,2,"2,530","1,511",15,FCBGA1168,Laptop
Intel Core i3-7102E @ 2.10GHz,2,"2,521","1,292",25,FCBGA1440,Laptop
Intel Core i3-4100M @ 2.50GHz,2,"2,521","1,407",37,FCPGA946,Laptop
Intel Core i5-5200U @ 2.20GHz,2,"2,502","1,499",15,FCBGA1168,Laptop
AMD PRO A12-8830B,4,"2,499","1,323",15,BGA (FP4),Laptop
Intel Core i5-4300U @ 1.90GHz,2,"2,496","1,484",15,FCBGA1168,Laptop
Intel Core i7-4500U @ 1.80GHz,2,"2,487","1,494",15,BGA1168,Laptop
Intel Core i7-8500Y @ 1.50GHz,2,"2,472","1,457",5,FCBGA1515,Laptop
Intel Core i5-3210M @ 2.50GHz,2,"2,469","1,528",35,PGA988B,Laptop
Intel Core i7-2640M @ 2.80GHz,2,"2,465","1,497",35,BGA1023,Laptop
Intel Celeron N4120 @ 1.10GHz,4,"2,457","1,085",6,FCBGA1090,Laptop
Intel Core i5-5250U @ 1.60GHz,2,"2,456","1,526",15,FCBGA1168,Laptop
AMD 3020e,2,"2,445","1,415",6,Unknown,Laptop
Intel Celeron N4100 @ 1.10GHz,4,"2,443","1,006",6,FCBGA1090,Laptop
AMD A12-9700P,4,"2,439","1,218",15,FP4,Laptop
Intel Core i7-2620M @ 2.70GHz,2,"2,425","1,460",35,BGA1023,Laptop
Intel Core i5-4350U @ 1.40GHz,2,"2,425","1,585",15,BGA1168,Laptop
Intel Core i7-4650U @ 1.70GHz,2,"2,419","1,544",15,BGA1168,Laptop
Intel Core i7-3667U @ 2.00GHz,2,"2,410","1,507",17,BGA1023,Laptop
Intel Core i5-2560M @ 2.70GHz,2,"2,397","1,437",NA,Unknown,Laptop
Intel Atom C2758 @ 2.40GHz,8,"2,397",576,20,BGA 1283,"Laptop, Mobile/Embedded"
Intel Celeron 7305,5,"2,378",794,15,FCBGA1744,Laptop
Intel Atom T5700 @ 1.70GHz,4,"2,363",906,NA,Unknown,Laptop
Intel Pentium 6405U @ 2.40GHz,2,"2,359","1,386",15,FCBGA1528,Laptop
Intel Core i5-2540M @ 2.60GHz,2,"2,357","1,404",35,BGA1023,Laptop
Intel Core i3-6102E @ 1.90GHz,2,"2,349","1,068",25,FCBGA1440,Laptop
AMD PRO A10-8730B,4,"2,344","1,185",15,FP4,Laptop
AMD A10-9600P,4,"2,343","1,151",15,FP4,Laptop
Intel Core m5-6Y57 @ 1.10GHz,2,"2,337","1,329",7,FCBGA1515,Laptop
Intel Core i7-3537U @ 2.00GHz,2,"2,332","1,440",17,BGA1023,Laptop
Intel Core i7-3517UE @ 1.70GHz,2,"2,320","1,366",17,BGA1023,Laptop
Intel Core i5-3437U @ 1.90GHz,2,"2,315","1,432",17,BGA1023,Laptop
Intel Core i5-4260U @ 1.40GHz,2,"2,311","1,457",15,FCBGA1168,Laptop
Intel Core m7-6Y75 @ 1.20GHz,2,"2,310","1,348",7,FCBGA1515,Laptop
Intel Core i5-4210U @ 1.70GHz,2,"2,307","1,377",15,FCBGA1168,Laptop
AMD PRO A8-9600B,4,"2,292","1,194",15,FP4,Laptop
Intel Core i3-6006U @ 2.00GHz,2,"2,281","1,161",15,FCBGA1356,Laptop
Intel Core i7-4550U @ 1.50GHz,2,"2,272","1,290",15,BGA1168,Laptop
Intel Core m5-6Y54 @ 1.10GHz,2,"2,265","1,303",7,FCBGA1515,Laptop
Intel Pentium 4417U @ 2.30GHz,2,"2,264","1,314",15,FCBGA1356,Laptop
Intel Pentium 5405U @ 2.30GHz,2,"2,263","1,314",15,FCBGA1528,Laptop
Intel Core i5-3427U @ 1.80GHz,2,"2,258","1,362",17,BGA1023,Laptop
AMD A8-8600P,2,"2,240","1,103",15,FP4,Laptop
Intel Core i7-3555LE @ 2.50GHz,2,"2,238","1,336",25,BGA1023,Laptop
AMD A10-8700P,2,"2,237","1,143",35,FP4,Laptop
Intel Core i5-2520M @ 2.50GHz,2,"2,236","1,356",35,PGA988B,Laptop
Intel Pentium 4415U @ 2.30GHz,2,"2,234","1,285",15,BGA1356,Laptop
Intel Core i5-8200Y @ 1.30GHz,2,"2,213","1,437",5,FCBGA1515,Laptop
AMD PRO A10-8700B,2,"2,212","1,122",15,BGA (FP4),Laptop
Snapdragon 835,8,"2,211","1,035",9,Unknown,"Laptop, Mobile/Embedded"
Intel Core i3-5010U @ 2.10GHz,2,"2,194","1,233",15,FCBGA1168,Laptop
Intel Pentium G4400TE @ 2.40GHz,2,"2,190","1,481",35,FCLGA1151,Laptop
AMD PRO A8-8600B,4,"2,190","1,090",15,BGA (FP4),Laptop
Intel Core i3-5020U @ 2.20GHz,2,"2,188","1,244",15,FCBGA1168,Laptop
Intel Core i7-940XM @ 2.13GHz,4,"2,187","1,122",55,PGA988,Laptop
Intel Core i5-4200U @ 1.60GHz,2,"2,184","1,291",15,BGA1168,Laptop
Intel Core m3-6Y30 @ 0.90GHz,2,"2,171","1,172",4.5,FCBGA1515,Laptop
Intel Pentium N4200 @ 1.10GHz,4,"2,170",858,6,FCBGA1296,Laptop
AMD A8-7200P,4,"2,154","1,054",35,FP3,Laptop
Intel Core i5-4250U @ 1.30GHz,2,"2,148","1,337",15,BGA1168,Laptop
Intel Pentium 4405U @ 2.10GHz,2,"2,112","1,198",15,FCBGA1356,Laptop
Intel Atom x7-E3950 @ 1.60GHz,4,"2,096",742,12,BGA1296,Laptop
Intel Celeron 6305 @ 1.80GHz,2,"2,094","1,199",NA,FCBGA1449,Laptop
Intel Core i5-3337U @ 1.80GHz,2,"2,087","1,281",17,BGA1023,Laptop
Intel Core i5-2435M @ 2.40GHz,2,"2,085","1,321",35,BGA1023,Laptop
AMD A10-7400P,4,"2,078","1,033",35,FP3,Laptop
Intel Core i7-640M @ 2.80GHz,2,"2,076","1,374",35,BGA1288,Laptop
Intel Core i7-3517U @ 1.90GHz,2,"2,072","1,326",17,BGA1023,Laptop
Intel Core i5-2450M @ 2.50GHz,2,"2,072","1,281",35,BGA1023,Laptop
Intel Core i7-610E @ 2.53GHz,2,"2,071","1,420",35,BGA1288,Laptop
AMD A10-5750M APU,4,"2,037","1,160",35,FS1r2,Laptop
Intel Celeron G3900E @ 2.40GHz,2,"2,034","1,499",35,FCBGA1440,Laptop
Intel Core i3-5005U @ 2.00GHz,2,"2,024","1,146",15,FCBGA1168,Laptop
Intel Core M-5Y71 @ 1.20GHz,2,"2,021","1,268",4.5,FCBGA1234,Laptop
Intel Core i5-3317U @ 1.70GHz,2,"2,015","1,257",17,BGA1023,Laptop
Intel Core M-5Y51 @ 1.10GHz,2,"2,014","1,310",4.5,FCBGA1234,Laptop
Intel Core i5-2430M @ 2.40GHz,2,"2,006","1,240",35,PGA988B,Laptop
AMD A10-5757M APU,4,"1,987","1,143",35,FP2,Laptop
Intel Core i7-620M @ 2.67GHz,2,"1,980","1,288",35,BGA1288,Laptop
Intel Celeron N3450 @ 1.10GHz,4,"1,978",765,6,FCBGA1296,Laptop
AMD FX-7500 APU,4,"1,972",977,19,FP3,Laptop
Intel Core i7-3689Y @ 1.50GHz,2,"1,967","1,209",13,FCBGA1023,Laptop
Intel Core i3-4025U @ 1.90GHz,2,"1,959","1,091",15,FCBGA1168,Laptop
Intel Atom E3900 @ 1.60GHz,4,"1,953",675,NA,Unknown,Laptop
Intel Core i5-580M @ 2.67GHz,2,"1,951","1,284",35,BGA1288,Laptop
Intel Core i7-920XM @ 2.00GHz,4,"1,950","1,022",55,PGA988B,Laptop
Intel Core i3-4120U @ 2.00GHz,2,"1,948","1,177",15,FCBGA1168,Laptop
Intel Core i7-840QM @ 1.87GHz,4,"1,945","1,132",45,PGA988A,Laptop
Intel Core i5-2410M @ 2.30GHz,2,"1,941","1,202",35," 	FCBGA1023, PPG",Laptop
Intel Atom x5-E3940 @ 1.60GHz,4,"1,941",672,9.5,BGA1296,Laptop
AMD A10-4600M APU,2,"1,934","1,077",35,FS1r2,Laptop
Intel Core i3-4158U @ 2.00GHz,2,"1,921","1,075",28,FCBGA1168,Laptop
AMD A10 PRO-7350B APU,4,"1,921",921,19,FP3,Laptop
Intel Core2 Quad Q9100 @ 2.26GHz,4,"1,915",986,45,PGA478,Laptop
Intel Core M-5Y31 @ 0.90GHz,2,"1,915","1,257",4.5,FCBGA1234,Laptop
Intel Core i7-2677M @ 1.80GHz,2,"1,912","1,260",17,BGA1023,Laptop
Intel Core i5-4422E @ 1.80GHz,2,"1,907","1,048",25,FCBGA1364,Laptop
Intel Core M-5Y10a @ 0.80GHz,2,"1,905",993,4.5,FCBGA1234,Laptop
Intel Core M-5Y10c @ 0.80GHz,2,"1,901","1,128",4.5,FCBGA1234,Laptop
Intel Core i3-3130M @ 2.60GHz,2,"1,900","1,285",35,BGA1023,Laptop
Intel Core i5-560M @ 2.67GHz,2,"1,899","1,239",35,BGA1288,Laptop
Intel Core i5-2510E @ 2.50GHz,2,"1,889","1,183",35,PGA988B,Laptop
Intel Core i3-4030U @ 1.90GHz,2,"1,871","1,022",15,FCBGA1168,Laptop
Intel Core i3-5015U @ 2.10GHz,2,"1,869","1,036",15,FCBGA1168,Laptop
AMD A8-5550M APU,4,"1,863","1,038",35,FS1r2,Laptop
Intel Core i3-4110U @ 1.90GHz,2,"1,860","1,055",NA,Unknown,Laptop
Intel Core i5-4230U @ 1.90GHz,2,"1,853","1,620",15,FCBGA1364,Laptop
Intel Celeron G3900TE @ 2.30GHz,2,"1,850","1,402",35,FCLGA1151,Laptop
Intel Core i3-2310E @ 2.10GHz,2,"1,845",733,35,FCBGA1023,Laptop
Intel Core i7-2637M @ 1.70GHz,2,"1,831","1,126",17,BGA1023,Laptop
Intel Core M-5Y70 @ 1.10GHz,2,"1,823","1,081",4.5,BGA1234,Laptop
Intel Core i7-740QM @ 1.73GHz,4,"1,820","1,008",45,PGA988A,Laptop
AMD A8-7410 APU,4,"1,814",804,25,Unknown,Laptop
Intel Core i5-540M @ 2.53GHz,2,"1,806","1,161",35,BGA1288,Laptop
AMD A8-5557M APU,4,"1,801","1,037",35,FP2,Laptop
AMD PRO A4-3350B APU,4,"1,797",794,15,FT3b,Laptop
AMD Phenom II X940 Quad-Core,4,"1,797",785,45,S1,Laptop
AMD GX-420MC SOC,4,"1,796",695,17.5,FTB3b,Laptop
AMD GX-424CC SOC,4,"1,787",801,25,FT3b,Laptop
Intel Core i3-4000M @ 2.40GHz,2,"1,779","1,263",37,FCPGA946,Laptop
AMD GX-420CA SOC,4,"1,777",675,25,FT3 (769-BGA),Laptop
Intel Core i7-820QM @ 1.73GHz,4,"1,774","1,022",45,PGA988A,Laptop
AMD A10-5745M APU,4,"1,773",949,25,FP2,Laptop
AMD R-464L APU,4,"1,773","1,123",35,FS1r2,"Laptop, Mobile/Embedded"
AMD A8-6410 APU,4,"1,770",782,15,BGA769 (FT3b),Laptop
AMD Phenom II N830 3+1,4,"1,768",935,35,S1,Laptop
Intel Celeron 3965U @ 2.20GHz,2,"1,761","1,358",15,FCBGA1356,Laptop
AMD A10-4657M APU,4,"1,759",940,35,FP2,Laptop
AMD A10-7300 APU,4,"1,739",861,19,FP3,Laptop
AMD A6-7310 APU,4,"1,722",774,25,Unknown,Laptop
Intel Core i5-520M @ 2.40GHz,2,"1,720","1,094",35,BGA1288,Laptop
Intel Core i5-2557M @ 1.70GHz,2,"1,713","1,081",17,BGA1023,Laptop
Intel Pentium 4425Y @ 1.70GHz,2,"1,700",957,6,FCBGA1515,Laptop
Intel Celeron 4305UE @ 2.00GHz,2,"1,699","1,163",15,FCBGA1528,"Laptop, Mobile/Embedded"
Intel Core i3-3120M @ 2.50GHz,2,"1,695","1,281",35,PGA988,Laptop
Intel Core i7-2617M @ 1.50GHz,2,"1,687","1,092",17,BGA1023,Laptop
AMD Phenom II N970 Quad-Core,4,"1,687",904,35,S1,Laptop
AMD A8-3550MX APU,4,"1,687",962,45,FS1,Laptop
AMD A8-4500M APU,2,"1,679",917,35,FS1r2,Laptop
AMD A6-6310 APU,4,"1,675",742,15,FT3,Laptop
AMD Phenom II X920 Quad-Core,4,"1,669",944,45,S1,Laptop
AMD A6-5200 APU,4,"1,664",664,25,FT3,Laptop
Intel Core i3-4005U @ 1.70GHz,2,"1,663",912,15,FCBGA1168,Laptop
AMD A4-7210 APU,4,"1,661",725,25,BGA,Laptop
Intel Core i7-720QM @ 1.60GHz,4,"1,657",928,45,PGA988A,Laptop
AMD A4-6250J APU,4,"1,656",698,25,Unknown,"Laptop, Mobile/Embedded"
AMD A10-4655M APU,2,"1,655",912,25,FP2,Laptop
Intel Core i3-4030Y @ 1.60GHz,2,"1,654",901,11.5,FCBGA1168,Laptop
Intel Core i3-4010U @ 1.70GHz,2,"1,651",899,15,BGA1168,Laptop
AMD A4 PRO-3340B,4,"1,645",676,25,BGA769 (FT3),Laptop
AMD A8-7100 APU,4,"1,642",845,19,FP3,Laptop
Intel Core i3-3110M @ 2.40GHz,2,"1,636","1,239",35,BGA1023,Laptop
Intel Core M-5Y10 @ 0.80GHz,2,"1,628",955,4.5,Unknown,Laptop
AMD Embedded R-Series RX-216GD,2,"1,628","1,313",15,BGA (FP4),"Laptop, Mobile/Embedded"
AMD A8-3510MX APU,4,"1,614",890,45,FS1,Laptop
AMD A8-3530MX APU,4,"1,608",938,45,FS1,Laptop
Intel Celeron 2000E @ 2.20GHz,2,"1,607","1,282",37,FCBGA1364,Laptop
AMD PRO A6-8500B,2,"1,601","1,340",15,FP4,Laptop
Intel Core i5-4220Y @ 1.60GHz,2,"1,591",952,11.5,FCBGA1364,Laptop
AMD Phenom II N950 Quad-Core,4,"1,587",859,35,S1,Laptop
Intel Pentium 4415Y @ 1.60GHz,2,"1,586",870,6,FCBGA1515,Laptop
AMD Phenom II N930 Quad-Core,4,"1,584",817,35,S1,Laptop
AMD Embedded G-Series GX-420GI Radeon R7E,4,"1,579",828,16.1,FP4,"Laptop, Mobile/Embedded"
Intel Core2 Quad Q9000 @ 2.00GHz,4,"1,575",881,45,PGA478,Laptop
AMD A8-5545M APU,4,"1,556",826,19,FP2,Laptop
Intel Celeron N4020 @ 1.10GHz,2,"1,552","1,150",6,FCBGA1090,Laptop
AMD R-460L APU,4,"1,538",928,25,BGA827 (FP2),Laptop
AMD A8 PRO-7150B APU,4,"1,528",763,19,FP3,Laptop
AMD A9-9410,2,"1,527","1,343",25,FP4,Laptop
Intel Pentium 4405Y @ 1.50GHz,2,"1,526",886,6,FCBGA1515,Laptop
Intel Celeron N4020C @ 1.10GHz,2,"1,520","1,113",6,FCBGA1090,"Laptop, Mobile/Embedded"
AMD E2-7110 APU,4,"1,515",611,15,FP4 BGA,Laptop
Intel Core i7-640LM @ 2.13GHz,2,"1,513","1,043",25,BGA1288,Laptop
AMD A9-9425,2,"1,511","1,316",15,BGA (FT4),Laptop
Intel Celeron 3955U @ 2.00GHz,2,"1,507","1,204",15,FCBGA1356,Laptop
Intel Celeron 2970M @ 2.20GHz,2,"1,501","1,245",37,FCPGA946,Laptop
AMD A9-9420,2,"1,501","1,296",15,Unknown,Laptop
AMD A4-6210 APU,4,"1,498",610,15,FT3b,Laptop
Intel Celeron 3867U @ 1.80GHz,2,"1,467","1,092",15,FCBGA1356,Laptop
Intel Core i7-620LM @ 2.00GHz,2,"1,462","1,060",25,rPGA988A,Laptop
AMD A8-3520M APU,4,"1,448",845,35,FS1,Laptop
AMD A6-3430MX APU,4,"1,448",822,45,FS1,Laptop
AMD A6-8500P,2,"1,445","1,253",15,BGA (FP4),Laptop
Intel Core i5-2467M @ 1.60GHz,2,"1,444",847,17,BGA1023,Laptop
Intel Celeron 5205U @ 1.90GHz,2,"1,441","1,101",15,FCBGA1528,Laptop
AMD A10 Micro-6700T APU,4,"1,426",722,5,FT3b,Laptop
Intel Celeron N4000 @ 1.10GHz,2,"1,425","1,040",6,FCBGA1090,Laptop
Intel Atom C2558 @ 2.40GHz,4,"1,424",512,15,BGA 1283,"Laptop, Mobile/Embedded"
Intel Pentium 2030M @ 2.50GHz,2,"1,413","1,222",35,FCPGA988,Laptop
AMD GX-415GA SOC,4,"1,412",515,15,FT3 (769-BGA),Laptop
AMD A8-3500M APU,4,"1,410",822,35,FS1,Laptop
Intel Core i7-2610UE @ 1.50GHz,2,"1,409",972,17,BGA1023,Laptop
Intel Celeron N4000C @ 1.10GHz,2,"1,406","1,004",6,FCBGA1090,Laptop
Intel Celeron 1020E @ 2.20GHz,2,"1,406","1,224",35," 	FCBGA1023, FCP",Laptop
Intel Pentium 3825U @ 1.90GHz,2,"1,395","1,108",15,FCBGA1168,Laptop
Intel Pentium N3710 @ 1.60GHz,4,"1,386",687,6,FCBGA1170,Laptop
AMD Phenom II P960 Quad-Core,4,"1,386",737,35,S1,Laptop
Intel Pentium 4410Y @ 1.50GHz,2,"1,384",755,6,FCBGA1515,Laptop
Intel Pentium 2020M @ 2.40GHz,2,"1,382","1,271",35,FCPGA988,Laptop
AMD PRO A6-7350B,2,"1,376","1,305",15,FMA4,Laptop
AMD PRO A6-9500B,2,"1,371","1,235",15,FP4,Laptop
Intel Celeron 4205U @ 1.80GHz,2,"1,369","1,042",15,FCBGA1528,Laptop
Intel Core i3-2370M @ 2.40GHz,2,"1,364","1,050",35,PGA988B,Laptop
Intel Core i3-3217UE @ 1.60GHz,2,"1,362",711,17,BGA1023,Laptop
Intel Core i3-2332M @ 2.20GHz,2,"1,353",936,35,rPGA988B,Laptop
AMD A9-9400,2,"1,346","1,219",10,FP4,Laptop
AMD A4-5100 APU,4,"1,346",540,15,FT3,Laptop
Intel Pentium 3560M @ 2.40GHz,2,"1,345","1,221",37,FCPGA946,Laptop
AMD A6-9225,2,"1,335","1,163",15,BGA (FT4),Laptop
AMD A8-4555M APU,2,"1,331",789,19,FP2,Laptop
Intel Pentium 3550M @ 2.30GHz,2,"1,330","1,184",37,FCPGA946,Laptop
AMD A4-5050 APU,4,"1,328",538,13.5,FT3,Laptop
AMD Phenom II N870 Triple-Core,3,"1,324",900,35,S1,Laptop
Intel Core i5-480M @ 2.67GHz,2,"1,323","1,156",35,BGA1288,Laptop
Intel Atom x7-Z8700 @ 1.60GHz,4,"1,323",649,4,BGA1380,Laptop
Intel Celeron 3865U @ 1.80GHz,2,"1,320","1,035",15,BGA1356,Laptop
AMD Phenom II P940 Quad-Core,4,"1,319",679,35,S1,Laptop
Intel Core i5-460M @ 2.53GHz,2,"1,299","1,127",35,BGA1288,Laptop
AMD Phenom II N850 Triple-Core,3,"1,298",895,35,S1,Laptop
AMD A4-5000 APU,4,"1,295",508,15,FT3,Laptop
AMD A6-3420M APU,4,"1,292",773,35,FS1,Laptop
Intel Atom x7-Z8750 @ 1.60GHz,4,"1,289",679,4,UTFCBGA1380,Laptop
Intel Core i7-660UM @ 1.33GHz,2,"1,284",925,18,BGA1288,Laptop
Intel Core i3-3227U @ 1.90GHz,2,"1,284",944,17,BGA1023,Laptop
Intel Celeron 3855U @ 1.60GHz,2,"1,279",955,15,FCBGA1356,Laptop
Intel Core i3-4012Y @ 1.50GHz,2,"1,278",726,11.5,FCBGA1168,Laptop
Intel Celeron 1020M @ 2.10GHz,2,"1,275","1,176",35,FCPGA988,Laptop
AMD A6-9220,2,"1,274","1,129",15,Unknown,Laptop
Intel Core i3-2348M @ 2.30GHz,2,"1,273","1,006",35,rPGA988B,Laptop
AMD Embedded G-Series GX-224IJ Radeon R4E,2,"1,271","1,119",15,FP4,"Laptop, Mobile/Embedded"
AMD A6-3410MX APU,4,"1,263",732,45,FS1,Laptop
AMD Phenom II X620 Dual-Core,2,"1,262","1,339",45,S1,Laptop
Intel Core i3-2350M @ 2.30GHz,2,"1,261",975,35,PGA988B,Laptop
Intel Core i3-330E @ 2.13GHz,2,"1,260",934,35,BGA1288,Laptop
Intel Celeron 3765U @ 1.90GHz,2,"1,252","1,171",15,FCBGA1168,Laptop
AMD Phenom II P860 Triple-Core,3,"1,250",831,35,S1,Laptop
Intel Pentium A1020 @ 2.41GHz,4,"1,249",726,10,FCBGA1170,Laptop
Intel Pentium N3700 @ 1.60GHz,4,"1,247",631,6,FCBGA1170,Laptop
Intel Core i3-390M @ 2.67GHz,2,"1,245","1,074",35,BGA1288,Laptop
Intel Core i3-2328M @ 2.20GHz,2,"1,237",982,35,PGA988,Laptop
Intel Celeron 2950M @ 2.00GHz,2,"1,237","1,150",37,FCPGA946,Laptop
Intel Atom x5-Z8500 @ 1.44GHz,4,"1,236",631,4,UTFCBGA1380,Laptop
Intel Core i5-450M @ 2.40GHz,2,"1,235","1,042",35,PGA988A,Laptop
Intel Core i3-2330M @ 2.20GHz,2,"1,225",963,35,BGA1023,Laptop
AMD A4-9120,2,"1,225","1,043",15,BGA,Laptop
Intel Core i3-3217U @ 1.80GHz,2,"1,224",912,17,BGA1023,Laptop
Intel Core i5-2537M @ 1.40GHz,2,"1,223",954,17,BGA1023,Laptop
AMD A6-5350M APU,2,"1,223","1,237",35,FS1r2,Laptop
